Roll (deg),Pitch (deg),Yaw (deg),Altitude Deviation (m),Yaw Angle to Target (deg),Pitch Angle to Target (deg),Velocity X-Axis,Altitude_change,Pitch Rate [deg/s],Yaw Rate [deg/s],Roll Rate [deg/s]
-51.959816,-36.09198,30.611198,-46.781677,3.5039687,0.6120942,154.59595,-102.5264,-34.29066,-12.730734,-2.792864
-52.63326,-36.258564,30.78388,-47.303772,3.3351266,0.6190132,154.78296,-103.01831,-37.345722,-11.628724,-2.6366715
-53.350044,-36.41031,30.94316,-47.82834,3.179685,0.62595266,154.97876,-103.50505,-40.049988,-10.478138,-2.513892
-54.103306,-36.547405,31.08744,-48.355377,3.0392427,0.63293993,155.18433,-103.986786,-42.4358,-9.290068,-2.437421
-54.886673,-36.670387,31.215069,-48.884842,2.9154387,0.63994086,155.40015,-104.46362,-44.54141,-8.075059,-2.4084065
-55.694492,-36.780018,31.324572,-49.416718,2.8097348,0.64698964,155.62793,-104.93555,-45.532196,-6.8455706,-2.4327767
-56.50734,-36.877293,31.414648,-49.950974,2.7234695,0.6540862,155.86816,-105.40279,-44.69845,-5.6133223,-2.519001
-57.29396,-36.963547,31.483988,-50.48761,2.6579134,0.66118276,156.12158,-105.8656,-41.9873,-4.3973846,-2.6731446
-58.02244,-37.040386,31.531689,-51.026566,2.6139953,0.66833395,156.38916,-106.32449,-37.368755,-3.2254884,-2.8978305
-58.660652,-37.109715,31.557262,-51.567856,2.592166,0.6755057,156.67017,-106.78027,-31.077797,-2.126675,-3.1896708
